description,category,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
 andiblets and neck,raw,Chicken,100,251,20,5.5,87,71,0,37,0,6.383,1.129,0.251,0.111,1102,331,0,0,0,0,0,1.26,0.35,3.1,0,0,0,10,0.092,1.51,20,0.031,173,204,12.5,1.37,17.48,1.006,1.104,1.566,0.234,2.563,1.125,0.502,0,0.87,1.281,1.407,0.4610.688,0.856,0.631,0.728,0.195,0.563,0.855,0.19,0,0,0,0,0,0,0,0,19.52,5.48,7.82,4.27,87,0,1.02,0,0,62.5,,
 separable lean and fat,raw,Pork,100,123,3.4,1.2,63,73,71.9,1,0,7.092,0.802,0.423,0.525,0,0,0,0,0,0,0,0.64,0.553,0,0.08,0.08,0,7,0.057,0.84,22,0.009,207,365,25.2,3.18,21.64,1.239,1.394,2.024,0.244,3.306,0.978,0.88,0.075,1.025,1.781,1.924,0.5930.899,0.875,0.904,0.952,0.258,0.857,1.094,0,0,0,0,0,0,0,0,0,3.39,1.187,1.688,0.509,63,0,1.02,0,0,75.18,,
 KELLOGG'S POP TARTS,raw,Toaster Pastries,100,398,11,2.9,0,355,8.4,100,0,3.8,0,0.3,0.3,962,0,0,0,0,0,0,0,0.4,0,0,0,0,24,0,3.5,11,0,55,93,0,0.3,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.1,1.1,33,0,0,0,0,0,0,10.5,2.9,6.2,1.5,0,0,1.2,0,0,12.5,,
 meat and skin,raw,Chicken,100,237,18,5.3,81,73,0,7,0,5.211,0.994,0.146,0.061,170,49,0,0,0,0,0,0.29,0.25,0,0.3,0.3,2.4,11,0.054,0.98,19,0.019,136,178,12.7,1.58,16.69,0.984,1.053,1.488,0.224,2.429,1.126,0.485,0,0.824,1.207,1.348,0.4410.646,0.831,0.591,0.687,0.185,0.533,0.807,0,0,0,0,0,0,0,0,0,18.34,5.26,7.65,3.96,81,0,0.76,0,0,65.42,,
 select,raw,Beef,100,124,4,1.7,66,81,74.6,4,0,5.19,0.67,0.17,0.08,7,2,0,0,0,0,0,2.42,0.568,0.03.00,0.15,0.15,1.5,14,0.093,2.2,20,0.014,209,359,26,5.51,21.9,1.266,1.473,2.016,0.233,3.566,0.975,0.722,0.111,0.959,1.813,1.97,0.6390.854,0.901,0.86,0.992,0.251,0.777,1.013,0.21,0,0,0,0,0,0,0,0,3.99,1.748,2.16,0.287,66,0,1.12,0,0,72.79,,
 choice,raw,Beef,100,130,4.8,2,63,79,69.1,3,0,4.887,0.66,0.17,0.08,6,2,0,0,0,0,0,2.27,0.568,0.04.00,0.18,0.18,1.5,13,0.084,2.09,21,0.014,217,373,23.6,5.41,21.64,1.251,1.455,1.993,0.23,3.525,0.964,0.714,0.109,0.948,1.791,1.947,0.6310.844,0.891,0.85,0.98,0.248,0.767,1.001,0.12,0,0,0,0,0,0,0,0,4.81,1.988,2.51,0.31,63,0,1.11,0,0,72.32,,
 separable lean and fat,raw,Pork,100,236,18,6.2,71,65,60.6,5,0,3.833,0.719,0.275,0.767,7,2,0,0,0,0,0,0.74,0.348,0.770.00,0.19,0.19,0,15,0.084,1.05,18,0.011,182,302,25.5,2.7,17.18,1.015,1.098,1.567,0.214,2.614,0.952,0.656,0,0.781,1.36,1.531,0.4410.681,0.765,0.709,0.768,0.208,0.579,0.921,0,0,0,0,0,0,0,0,0,17.99,6.24,8.01,1.92,71,0,0.88,0,0,64.02,,
 Pacific,raw,Fish,100,69,0.4,0.1,47,303,65,7,0,1.095,0.294,0.045,0.033,6,2,0,0,0,0,0,1.98,0.117,0.020.00,0.54,0.54,0,8,0.019,0.16,20,0.012,281,235,22.9,0.31,15.27,0.877,0.982,1.525,0.136,2.297,0.71,0.324,0,0.679,1.211,1.399,0.4180.595,0.512,0.647,0.658,0.188,0.553,0.731,0,0,0,0,0,0,0,0,0,0.41,0.085,0.073,0.164,47,0,1.46,0,0,83.95,,
  external fat,raw,Beef,100,509,51,23,66,36,0,0,0,0,0,0,0,121,36,0,0,0,0,0,0,0,0,0,0,0,6,0,0.95,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,51.36,22.65,21.426,1.419,66,0,0.42,0,0,36.51,,
 choice,raw,Beef,100,388,36,16,76,49,0,5,0,2.556,0.241,0.118,0.071,0,0,0,0,0,0,0,2.56,0.3,0,0,0,0,9,0.053,1.55,14,0.011,137,232,14.2,3.16,14.4,0.868,0.91,1.315,0.161,2.163,0.785,0.493,0,0.647,1.138,1.198,0.3680.562,0.636,0.55,0.629,0.161,0.484,0.7,0,0,0,0,0,0,0,0,0,36.23,15.76,16.39,1.32,76,0,0.68,0,0,48.29,,
 butterhead (includes boston and bibb types),raw,Lettuce,100,13,0.2,,0,5,8.4,73,0,0.357,0.15,0.062,0.057,3312,166,0,1987,0,1223,0,0,0.082,3.70.00,0.18,0.18,102.3,35,0.016,1.24,13,0.179,33,238,0.6,0.2,1.35,0.054,0.051,0.142,0.009,0.206,0.044,0.017,0,0.039,0.071,0.056,0.0140.053,0.037,0.046,0.041,0.013,0.019,0.054,2.23,1.1,0.94,0.51,0,0.43,0,0,0,0.22,0.029,0.008,0.117,0,0,0.57,0,0,95.63,,
 spring or scallions (includes tops and bulb),raw,Onions,100,32,0.2,,0,16,5.7,64,0,0.525,0.075,0.08,0.055,997,50,0,598,0,1137,0,0,0.061,18.80.00,0.55,0.55,207,72,0.083,1.48,20,0.16,37,276,0.6,0.39,1.83,0.082,0.132,0.169,0,0.378,0.091,0.032,0,0.077,0.109,0.091,0.0200.059,0.121,0.082,0.072,0.02,0.053,0.081,7.34,2.6,2.33,0,0,0,0,0,0,0.19,0.032,0.027,0.074,0,0,0.81,0,0,89.83,,
 pancreas,raw,Pork,100,199,13,4.6,193,44,0,3,0,3.45,4.555,0.46,0.105,0,0,0,0,0,0,0,16.4,0.46,15.3,0,0,0,11,0.09,2.13,17,0.157,234,197,40.8,2.62,18.56,0.95,1.069,1.782,0.238,1.53,1.132,0.359,0,0.974,1.387,1.28,0.3060.796,0.95,0.742,0.835,0.407,0.778,1.001,0,0,0,0,0,0,0,0,0,13.24,4.58,4.6,2.48,193,0,1.12,0,0,67.18,,
 leaf fat,raw,Pork,100,857,94,45,110,5,0,0,0,1.249,0,0.065,0.106,0,0,0,0,0,0,0,0.23,0.03,0,0,0,0,1,0.009,0.09,1,0.001,19,31,8,0.18,1.76,0.104,0.182,0.163,0.015,0.273,0.08,0.02,0,0.046,0.123,0.146,0.0260.066,0.067,0.072,0.058,0.006,0.029,0.084,0,0,0,0,0,0,0,0,0,94.16,45.23,37.22,7.28,110,0,0.1,0,0,4.09,,
 separable lean and fat,raw,Veal,100,113,3.5,1.1,75,84,0,15,0,7.458,1.291,0.268,0.079,0,0,0,0,0,0,0,1.36,0.437,0,0,0,0,20,0.074,0.76,21,0.009,191,314,7.9,3.99,19.15,1.14,1.127,1.65,0.217,3.03,0.983,0.695,0,0.943,1.522,1.578,0.4470.772,0.799,0.717,0.836,0.193,0.61,1.057,0,0,0,0,0,0,0,0,0,3.48,1.06,1.257,0.363,75,0,1.04,0,0,76.92,,
 meat and skin andiblets and neck,raw,Chicken,100,232,17,4.9,87,47,0,27,0,7.074,1.101,0.183,0.065,905,272,0,0,0,0,0,1.01,0.36,2.6,0,0,0,11,0.063,1.41,21,0.028,181,213,12.2,1.32,18.51,1.079,1.172,1.67,0.248,2.733,1.189,0.545,0,0.934,1.369,1.514,0.4950.733,0.902,0.666,0.776,0.209,0.603,0.913,0.08,0,0,0,0,0,0,0,0,16.9,4.89,7.16,3.6,87,0,0.94,0,0,63.66,,
 stomach,raw,Pork,100,159,10,4,223,75,194.8,3,0,2.48,1.22,0.201,0.051,0,0,0,0,0,0,0,0.3,0.034,0.00.00,0.04,0.04,0,11,0.169,1.01,11,0.038,130,140,31.1,1.85,16.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14,4.025,3.59,0.892,223,0,0.63,0,0,73.5,,
 kidneys,raw,Pork,100,100,3.3,1,319,121,0,42,0,8.207,3.13,1.697,0.34,198,59,0,0,0,0,0,8.49,0.44,13.3,0,0,0,9,0.622,4.89,17,0.123,204,229,190,2.75,16.46,1.035,1.011,1.546,0.361,1.964,1.043,0.395,0,0.879,1.477,1.185,0.3530.777,1.019,0.872,0.682,0.213,0.592,0.948,0,0,0,0,0,0,0,0,0,3.25,1.04,1.07,0.26,319,0,1.17,0,0,80.06,,
 exposed to ultraviolet light,raw,Mushrooms,100,22,0.4,0.1,0,9,21.2,28,0,4.494,1.14,0.13,0.059,0,0,0,0,0,0,0,0.05,0.148,0.01135.00,0.02,0.02,0,3,0.286,0.31,10,0.069,108,364,18.6,0.53,2.11,0.187,0.123,0.228,0.006,0.427,0.111,0.067,0,0.099,0.153,0.252,0.0480.097,0.176,0.131,0.113,0.056,0.054,0.115,3.87,1.3,2.5,0.49,0,2.01,0,0,0,0.35,0.06,0.02,0.117,0,0,0.85,0,0,92.82,,
 BOLTHOUSE FARMS,raw,Fruit juice smoothie,100,52,0.3,0.1,0,5,5.3,24,0,0.287,0.092,0.053,0.035,20,1,4,9,1,25,0,0,0.075,47.30.00,0.16,0.16,1.6,11,0.038,0.32,13,0.194,16,184,0.4,0.07,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.37,0.6,10.33,4.58,0,3.32,0,0,2.44,0.3,0.129,0.046,0.112,0,0,0.29,0,0,86.6,,
 V8 SPLASH Juice Drinks,raw,Beverages,100,4,0,,0,13,0,0,0,0,0,0,0,2101,0,0,0,0,0,0,0,0,25.2,1.13,1.13,0,8,0,0.3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,98.8,,
 meat and skin,raw,Chicken,100,172,9.3,2.7,64,63,67.1,4,0,9.908,0.804,0.085,0.063,83,24,0,0,0,0,0,0.34,0.53,0.016.00,0.27,0.27,0,11,0.039,0.74,25,0.018,174,220,16.6,0.8,20.85,1.187,1.289,1.859,0.274,3.076,1.228,0.625,0,1.063,1.534,1.725,0.5630.816,0.954,0.729,0.869,0.237,0.684,1.02,0,0,0,0,0,0,0,0,0,9.25,2.66,3.82,1.96,64,0,1.01,0,0,69.46,,
 separable lean only,raw,Pork,100,136,5.4,1.9,68,55,72.3,9,0,5.338,0.805,0.228,0.875,6,2,0,0,0,0,0,0.71,0.5,0.923.00,0.17,0.17,0,6,0.075,1.01,25,0.029,229,369,35.4,2.27,20.48,1.193,1.273,1.9,0.261,3.206,0.972,0.818,0,0.959,1.643,1.842,0.5420.818,0.823,0.846,0.935,0.26,0.714,1.111,0,0,0,0,0,0,0,0,0,5.41,1.87,2.44,0.58,68,0,1.05,0,0,72.9,,
 spleen,raw,Pork,100,100,2.6,0.9,363,98,0,4,0,5.867,1.055,0.3,0.13,0,0,0,0,0,0,0,3.26,0.06,28.5,0,0,0,10,0.131,22.32,13,0.072,260,396,32.8,2.54,17.86,1.154,0.974,1.571,0.229,2.051,1.143,0.426,0,0.797,1.46,1.334,0.3310.763,0.995,0.78,0.714,0.183,0.5,0.971,0,0,0,0,0,0,0,0,0,2.59,0.86,0.69,0.19,363,0,1.53,0,0,78.43,,
 composite of cuts,raw,Game meat,100,136,5.6,1.7,57,41,0,8,0,7.27,0.8,0.15,0.1,0,0,0,0,0,0,0,7.16,0.5,0,0,0,0,13,0.145,1.57,19,0.026,213,330,23.7,1.57,20.05,1.21,1.239,1.959,0.252,3.217,1.089,0.562,0,0.951,1.562,1.756,0.5020.823,0.98,0.889,0.897,0.265,0.714,1.019,0,0,0,0,0,0,0,0,0,5.55,1.66,1.5,1.08,57,0,0.72,0,0,72.82,,
 separable lean only,raw,Pork,100,109,2.2,0.7,65,53,80.8,0,0,6.684,0.846,0.342,0.998,0,0,0,0,0,0,0,0.51,0.777,0.08.00,0.22,0.22,0,5,0.09,0.98,27,0.015,247,399,30.8,1.89,20.95,1.23,1.394,2.049,0.242,3.344,0.944,0.905,0.054,1.031,1.784,1.943,0.5770.881,0.847,0.906,0.94,0.22,0.797,1.095,0,0,0,0,0,0,0,0,0,2.17,0.698,0.792,0.367,65,0,1.03,0,0,76,,
 tongue,raw,Pork,100,225,17,6,101,110,0,4,0,5.3,0.641,0.485,0.49,0,0,0,0,0,0,0,2.84,0.24,4.4,0.29,0.29,0,16,0.07,3.35,18,0.011,193,243,10.4,3.01,16.3,0.861,1.007,1.515,0.235,2.052,1.205,0.409,0,0.743,1.307,1.333,0.3650.675,0.861,0.678,0.689,0.188,0.496,0.848,0,0,0,0,0,0,0,0,0,17.2,5.96,8.13,1.78,101,0,0.9,0,0,65.9,,
 low bush or lingenberry,raw,Cranberry,100,55,0.5,,0,0,0,0,0,0.4,0,0.08,0.02,90,0,0,0,0,0,0,0,0,21,0,0,0,26,0,0.4,0,0,21,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.2,0,0,86.7,,
 separable lean and fat,raw,Veal,100,148,7.6,2.7,62,91,92.7,3,0,4.491,0.971,0.397,0.101,0,0,0,0,0,0,0,2.73,0.437,0.060.00,0.3,0.3,1.2,23,0.08,1.22,32,0.012,202,198,14.9,3.18,18.72,1.113,1.101,1.615,0.211,2.96,0.962,0.68,0.095,0.922,1.49,1.542,0.4370.755,0.782,0.701,0.818,0.189,0.597,1.035,0.03,0,0,0,0,0,0,0,0,7.61,2.701,3.642,0.313,62,0,0.97,0,0,72.6,,
 meat only,raw,Chicken,100,114,1.7,0.4,58,68,0,4,0,10.604,0.822,0.092,0.068,27,8,0,0,0,0,0,0.38,0.54,0,0.22,0.22,2.4,12,0.04,0.73,27,0.018,187,239,17.8,0.97,23.2,1.266,1.399,2.068,0.297,3.474,1.14,0.72,0,1.225,1.741,1.971,0.6420.921,0.954,0.798,0.98,0.271,0.783,1.151,0,0,0,0,0,0,0,0,0,1.65,0.44,0.39,0.37,58,0,0.98,0,0,74.86,,
 separable lean only,raw,Pork,100,148,7.1,2.5,67,76,0,5,0,4.275,0.822,0.314,0.884,6,2,0,0,0,0,0,0.84,0.415,0.8,0,0,0,14,0.097,1.22,21,0.012,202,341,29.5,3.14,19.55,1.139,1.215,1.813,0.249,3.06,0.928,0.781,0,0.915,1.568,1.758,0.5180.780,0.785,0.807,0.893,0.248,0.681,1.06,0,0,0,0,0,0,0,0,0,7.14,2.47,3.23,0.77,67,0,1.02,0,0,72.63,,
 frozen,raw,USDA Commodity,100,221,17,6.4,58,58,0,5,0,3.959,0.61,0.214,0.668,6,2,0,0,0,0,0,0.64,0.35,0.6,0,0,0,14,0.047,0.91,20,0.01,181,297,24.6,2.28,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.18,6.379,7.651,1.548,58,0,0.79,0,0,64.46,,
 meat and skin,raw,Chicken,100,221,17,4.5,98,81,45.7,3,0,4.625,0.19,0.145,0.073,78,23,0,0,0,108,0,0.62,0.347,0.03.00,0.21,0.21,2.1,7,0.054,0.68,18,0.013,157,204,18.9,1.29,16.52,1.015,1.157,1.554,0.183,2.571,1.005,0.465,0,0.731,1.318,1.448,0.4380.632,0.773,0.675,0.735,0.167,0.579,0.764,0.25,0,0,0,0,0,0,0,0,16.61,4.524,6.94,3.467,98,0,0.81,0,0,66.47,,
 brain,raw,Pork,100,127,9.2,2.1,2195,120,0,6,0,4.275,2.8,0.275,0.155,0,0,0,0,0,0,0,2.19,0.19,13.5,0,0,0,10,0.24,1.6,14,0.094,282,258,15.9,1.27,10.28,0,0.538,1.028,0,1.202,0.493,0.276,0,0.475,0.896,0.808,0.2040.523,0,0,0.48,0.132,0.431,0.586,0,0,0,0,0,0,0,0,0,9.21,2.079,1.659,1.429,2195,0,1.13,0,0,78.36,,
 choice,raw,Beef,100,173,10,4.3,59,65,0,6,0,3.412,0.32,0.154,0.094,0,0,0,0,0,0,0,3.39,0.39,0,0,0,0,8,0.069,2.16,22,0.014,190,357,14.4,4.78,19.05,1.149,1.204,1.74,0.213,2.862,1.039,0.652,0,0.856,1.506,1.585,0.4880.744,0.841,0.728,0.832,0.213,0.64,0.927,0,0,0,0,0,0,0,0,0,10.19,4.33,4.38,0.38,59,0,0.98,0,0,69.38,,
 liver,raw,Pork,100,134,3.7,1.2,301,87,0,212,0,15.301,6.65,3.005,0.283,21650,6502,0,0,0,0,0,26,0.69,25.3,0,0,0,9,0.677,23.3,18,0.344,288,273,52.7,5.76,21.39,1.276,1.317,1.937,0.404,2.782,1.239,0.582,0,1.085,1.906,1.649,0.5301.047,1.146,1.157,0.91,0.301,0.729,1.321,2.47,0,0,0,0,0,0,0,0,3.65,1.17,0.52,0.87,301,0,1.44,0,0,71.06,,
 lungs,raw,Pork,100,85,2.7,1,320,153,0,3,0,3.345,0.9,0.43,0.085,0,0,0,0,0,0,0,2.75,0.1,12.3,0,0,0,7,0.083,18.9,14,0.017,196,303,17.8,2.03,14.08,0.89,0.732,1.266,0.221,1.464,1.027,0.356,0,0.563,1.093,1.027,0.2280.586,0.901,0.621,0.496,0.124,0.398,0.838,0,0,0,0,0,0,0,0,0,2.72,0.96,0.61,0.34,320,0,0.8,0,0,79.52,,
 with added solution,raw,Turkey,100,158,9.1,1.7,70,180,50.8,6,0,7.246,0.777,0.17,0.039,78,23,0,0,0,0,0,1.16,0.54,0.015.00,0.09,0.09,0,14,0.069,0.67,21,0.008,195,211,20.2,1.68,19.03,1.06,1.091,1.476,0.175,2.499,1.013,0.492,0.27,0.524,1.267,1.499,0.4760.597,1.118,0.738,0.659,0.19,0.537,0.598,0.15,0,0.08,0,0,0,0,0,0.08,9.1,1.7,3.9,3.5,70,0,1.21,0,0,71.26,,
 meat only,raw,Chicken,100,125,4.3,1.1,80,85,0,10,0,6.246,1.249,0.184,0.077,72,22,0,0,0,0,0,0.36,0.33,3.1,0.21,0.21,2.4,12,0.063,1.03,23,0.021,162,222,13.5,2,20.08,1.096,1.211,1.79,0.257,3.007,0.986,0.623,0,1.06,1.507,1.706,0.5560.797,0.826,0.691,0.848,0.235,0.678,0.996,0,0,0,0,0,0,0,0,0,4.31,1.1,1.34,1.07,80,0,0.94,0,0,75.99,,
 heart,raw,Pork,100,118,4.4,1.2,131,56,0,4,0,6.765,2.515,1.185,0.613,25,8,0,0,0,0,0,3.79,0.39,5.3,0.63,0.63,0,5,0.408,4.68,19,0.063,169,294,10.4,2.8,17.27,1.108,1.16,1.563,0.309,2.77,0.939,0.439,0,0.831,1.558,1.428,0.4420.762,0.795,0.812,0.757,0.199,0.591,0.914,1.33,0,0,0,0,0,0,0,0,4.36,1.16,1.02,1.12,131,0,0.84,0,0,76.21,,
 separable lean only,raw,Veal,100,108,2.8,0.7,75,85,0,15,0,7.6,1.3,0.27,0.08,0,0,0,0,0,0,0,1.37,0.44,0,0,0,0,20,0.074,0.76,21,0.009,192,316,8,4.02,19.28,1.148,1.135,1.663,0.219,3.051,0.99,0.7,0,0.95,1.533,1.589,0.4500.777,0.805,0.722,0.842,0.194,0.614,1.064,0,0,0,0,0,0,0,0,0,2.83,0.738,0.982,0.334,75,0,1.05,0,0,77.45,,
,raw,Walrus,100,282,24,,0,0,0,0,0,0,0,0.32,0.08,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,125,0,0,0,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1,0,0,0,0,0,0.7,0,0,58.9,,
 from turkey frames,raw,Turkey,100,201,16,5.3,95,48,0,7,0,1.969,0.673,0.134,0.048,0,0,0,0,0,0,0,0.26,0.21,0,0,0,0,145,0.093,1.61,13,0.015,115,173,26.5,2.9,13.29,0.87,0.867,1.352,0.098,2.23,0.778,0.504,0,0.502,1.082,1.152,0.3740.551,0.648,0.621,0.636,0.106,0.472,0.544,0,0,0,0,0,0,0,0,0,15.96,5.31,5.02,4.51,95,0,1.1,0,0,69.09,,
 tail,raw,Pork,100,378,34,12,97,63,0,5,0,2.06,0.673,0.11,0.21,0,0,0,0,0,0,0,0.88,0.37,0,0,0,0,18,0.084,0.99,8,0.011,50,349,2.7,2.31,17.75,1.278,1.189,1.384,0.23,2.13,2.361,0.302,0,0.408,0.905,1.012,0.3200.479,1.509,0.692,0.55,0.089,0.32,0.515,0,0,0,0,0,0,0,0,0,33.5,11.64,15.8,3.68,97,0,0.5,0,0,46.05,,
 separable lean and fat,raw,Pork,100,127,3.4,1.1,60,54,88.9,0,0,9.602,0.982,0.465,0.645,0,0,0,0,0,0,0,0.87,0.722,0,0.08,0.08,0,7,0.076,0.89,26,0.014,229,378,25.8,1.95,22.54,1.291,1.453,2.109,0.254,3.444,1.019,0.917,0.079,1.068,1.856,2.005,0.6180.937,0.912,0.942,0.991,0.268,0.893,1.14,0,0,0,0,0,0,0,0,0,3.4,1.074,1.473,0.488,60,0,1.07,0,0,74.37,,
 separable lean only,raw,Pork,100,119,3,0.9,66,90,74.4,0,0,6.273,0.622,0.343,0.522,9,3,0,0,0,0,0,0.51,0.531,0.011.00,0.29,0.29,0,12,0.142,0.77,21,0.026,224,329,21.3,2.25,21.66,1.24,1.395,2.026,0.244,3.308,0.979,0.881,0.076,1.025,1.782,1.926,0.5940.900,0.876,0.904,0.952,0.258,0.858,1.095,0,0,0,0,0,0,0,0,0,2.95,0.917,1.214,0.605,66,0,1.11,0,0,74.88,,
 separable lean only,raw,Beef,100,150,7,2.5,54,47,0,0,0,4.243,0.303,0.086,0.048,41,12,0,0,0,0,0,0.71,0.316,0.08.00,0.35,0.35,0,4,0.055,1.61,20,0.006,177,309,3,2.76,20.93,1.089,1.377,0,0,2.919,1.14,0.754,0,0.87,1.579,1.657,0.6880.814,0.672,0.736,0.758,0.219,0.704,0.924,0.74,0,0,0,0,0,0,0,0,7,2.488,2.814,0.243,54,0,0.91,0,0,70.41,,
 separable lean only,raw,Game meat,100,119,3.2,1.3,64,62,0,13,0,4.443,0.724,0.347,0.227,0,0,0,0,0,0,0,2.46,0.472,0,0.16,0.16,0,5,0.202,2.88,24,0.013,213,353,28.7,5.27,21.12,1.407,1.437,2.064,0.252,3.439,1.37,0.774,0.264,1.019,1.812,1.959,0.5710.897,1.081,0.878,0.958,0.16,0.718,1.136,0,0,0,0,0,0,0,0,0,3.15,1.345,1.23,0.148,64,0,0.98,0,0,75.5,,
 separable lean only,raw,Beef,100,114,3.1,0.9,56,63,0,0,0,3.286,0.518,0.115,0.036,21,6,0,0,0,0,0,1.51,0.259,0.00.00,0.43,0.43,0,4,0.067,2.04,21,0.009,178,326,2,3.86,21.46,1.117,1.412,0,0,2.993,1.169,0.773,0,0.892,1.619,1.699,0.7060.834,0.689,0.754,0.777,0.225,0.722,0.947,0,0,0,0,0,0,0,0,0,3.12,0.881,1.257,0.146,56,0,0.99,0,0,74.57,,
 separable lean only,raw,Veal,100,122,4.5,1.7,59,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3.08,0,0,0,0,0,0,20.37,1.212,1.199,1.757,0.23,3.223,1.047,0.739,0.103,1.003,1.622,1.679,0.4760.822,0.85,0.764,0.89,0.206,0.649,1.126,0,0,0,0,0,0,0,0,0,4.47,1.7,1.708,0.602,59,0,1.01,0,0,75.38,,
 tahini,raw,Seeds,100,570,48,6.7,0,74,0,98,0,5.925,0.694,0.51,1.283,67,3,0,0,0,0,0,0,0.149,0.00.00,0,0,0,420,1.618,2.51,96,1.457,752,414,0,4.64,17.81,0.931,2.641,1.653,0.36,3.972,1.22,0.524,0,0.766,1.364,0.571,0.5880.944,0.813,0.971,0.739,0.39,0.746,0.995,26.19,9.3,0,0,0,0,0,0,0,48,6.722,18.127,21.039,0,0,5,0,0,3,,
 separable lean and fat,raw,Pork,100,193,12,3.9,67,84,68.2,0,0,5.75,0.594,0.307,0.47,20,6,0,0,0,0,0,0.54,0.475,0.020.00,0.31,0.31,0,12,0.131,0.69,19,0.022,204,329,19.5,2.02,19.87,1.138,1.281,1.859,0.224,3.036,0.898,0.808,0.069,0.941,1.636,1.768,0.5450.826,0.804,0.83,0.874,0.237,0.787,1.005,0,0,0,0,0,0,0,0,0,11.96,3.942,5.067,2.412,67,0,1.03,0,0,67.69,,
 separable lean only,raw,Veal,100,112,3,0.9,86,92,0,11,0,6.15,1.45,0.29,0.09,0,0,0,0,0,0,0,1.68,0.4,0,0.26,0.26,0,22,0.121,0.9,24,0.029,208,311,8.3,4.06,19.79,1.177,1.164,1.707,0.223,3.13,1.017,0.718,0,0.974,1.575,1.63,0.4620.799,0.826,0.742,0.864,0.2,0.631,1.094,0,0,0,0,0,0,0,0,0,3,0.9,0.96,0.31,86,0,1.07,0,0,76.58,,
 with added solution,raw,Chicken,100,386,38,11,113,139,28.9,2,0,2.655,0,0.06,0.035,186,56,0,0,0,0,0,0.68,0.113,0.014.00,0.44,0.44,0,7,0.03,0.51,7,0.006,88,101,10.8,0.62,11.11,0.763,0.791,0.829,0.092,1.317,1.43,0.228,0,0.315,0.612,0.635,0.1880.338,0.846,0.404,0.352,0.055,0.263,0.396,0.01,0,0,0,0,0,0,0,0,37.9,10.565,17.099,8.195,113,0,0.6,0,0,50.37,,
 separable lean only,raw,Pork,100,140,5.6,2,74,67,87.3,0,0,3.097,1.737,0.271,0.394,0,0,0,0,0,0,0,1.01,0.577,0.022.00,0.25,0.25,0,21,0.083,0.9,23,0.012,204,338,34.8,3,20.76,1.218,1.381,2.03,0.239,3.314,0.935,0.896,0.053,1.021,1.768,1.925,0.5720.872,0.839,0.897,0.932,0.218,0.79,1.085,0,0,0,0,0,0,0,0,0,5.64,2.012,2.477,0.645,74,0,1.01,0,0,72.84,,
 separable lean and fat,raw,Beef,100,161,8.9,3.3,49,46,0,0,0,4.594,0.138,0.08,0.035,25,8,0,0,0,0,0,1.51,0.2,0.06.00,0.33,0.33,0,4,0.044,1.53,19,0.006,171,323,3.4,4.19,20.12,1.047,1.323,0,0,2.805,1.096,0.725,0,0.836,1.518,1.593,0.6620.782,0.646,0.707,0.728,0.211,0.677,0.888,0,0,0,0,0,0,0,0,0,8.9,3.292,2.888,0.23,49,0,0.93,0,0,71.79,,
 low quadrant,raw,Seal,100,186,10,,121,57,63.1,0,0,0,0,0,0,648,195,0,0,0,0,0,0,0,0,0.27,0.27,0,4,0.148,17,17,0.037,140,210,0,2.6,23.63,1.351,1.331,1.967,0.127,3.158,1.244,0.843,0,0.896,1.826,1.913,0.4820.937,1.084,0.856,0.923,0.227,0.616,0.923,0,0,0,0,0,0,0,0,0,10.17,0,0,0,121,0,0.8,0,0,63.35,,
